"","Common name","Image","Origin","First developed","Comment","Use"
"415","Garden Sweet[3]","","New England, US","<1875","Stalk short and small. Flesh, yellowish white, tender, juicy, sweet. Tree hardy and productive. Use September - October","Cooking"
"416","Garretson´s Early(syn. Somerset Harvest)[4]","","New Jersey, US","<1840","Medium size. Stalk short. Flesh white, tender, juicy, subacid, good. Use July - August","Cooking, Eating"
"417","Gascoyne's Scarlet[8][18][21]","","Kent, England","1871","Large red fruit. W 77, H 63, We 145. Stalk 15 – 25 mm. FCC from RHS in 1887. Pick mid September. Use October - December.","Eating, Cooking"
"418","Geheimrat Dr. Oldenburg[144]","","Germany","1897","Created at the Höheren Lehranstalt für Obstbau of Geisenheim in the Rheingau; Minister von Hammerstein × Baumanns Renette.","Eating"
"419","Gehrers Rambour[144]","","Germany","1885","A german cider apple. Sugar-acid-ratio 8:1. Juice yield 75-80%. Pick late October.","cider"
"420","Gelber Richard[13]","","Germany","<1830","A yellow apple. W 66, H 66. Stalk 10 mm. Pick October. Use November - March.","Eating"
"421","Georg Carpenter[8]","","Surrey, England","1902","P Blenheim Orange x King of the Pippins. W 74, H 66. Stalk long. Flkesh white, juicy, sweet, aromatic. Pick mid September. Use October - December.","Eating"
"422","George Cave[8][21]","","Essex, England","1923","Pale green-yellow fruit with red flush. Early harvest. W 57, H 51. Stalk 15 – 20 mm. Pick August. Use August.","Eating"
"423","George Neal[162][21]","","Kent, England","1904","Pale green to yellow colour, will keep nicely until late autumn. Award of Merit from RHS in 1923. W 82, H 63. Stalk 10 – 20 mm. Good regular crops. Pick late August - early September. Use August - September.","Cooking"
"424","Gestreifter Herbst-Calvill[34]","","","<1670","Gelb with red flush. W 67, H 69,. Stalk 12 mm. Use November - January","Cooking, Eating"
"425","Gestreifter Winter-Calvill[163]","","Germany","<1840","Yellow with red stripes. W 70, H 60. Pick October. Use November - February.","Eating, Cooking"
"426","Gideon[164][165]","","Minnesota, US","ca 1880","Tree vigorous. Flesh yellow, soft, coarse, crisp, juicy, subacid, fair to good. Use October.","Eating"
"427","Gilpin(syn. Carthouse, Little Red Romanite.[4][3]","","Virginia, US","<1850","W 80, H 70. Stalk 17 mm. Flesh greenish-yellow, sweet, juicy. Pick October. Use December - May.","Cider, Eating"
"428","Gipsy King[92]","","England","<1872","A handsome dessert apple. W 64, H 45. Stalk 12 mm. Use October - December.","Eating"
"429","Gladstone[21][166]","","England","1780, Introduced 1868","W 63-79, H 54-62. Stalk 9–17 mm. A red apple. Pick late July - early August. Use July - August.","Eating"
"430","Glanz Reinette[34]","","Germany ?","<1850","A green apple with red stripes. W 58, H 50-53. Stalk 14 mm. Pick October.","Eating"
"431","Glockenapfel[144]","","Switzerland","17th century","A medium-sized green-yellow elongate bell-shaped apple, sometimes takes on a reddish blush. Tart and juicy, stores well, taste improves with age. Excellent culinary variety; renowned for its use in Strudel.","Cooking, Eating"
"432","Gloria Mundi(syn. Pound)[6][167][168]","","US","<1804","An excellent green culinary apple. W 89, H 76. Stalk short. Flesh yellow, coarse, crisp, tender, juicy, mild subacid, fair to good. Pick mid October. Use October - December.","Cooking"
"433","Glorie van Holland[50]","","Netherlands","c1890","Flesh slightly acidic, slightly sweet.","Eating"
"434","Glory of the Westsyn. Englischer Prahlrambour)[6]","","England","<1800","A culinary apple of first quality. W 82, H 72. Pick October. Use October - December).","Cooking"
"435","Gloster (aka Gloster 69)[8]","","Germany","1969","Conical shape. Somewhat tart, ruby red color like parent Red Delicious. Good choice for backyard gardening. W 70, H 67. Stalk long. Pick late October. Use November -March.","Eating"
"436","Ginger Gold","","Virginia, US","1960s","Tangy flavour, crunchy texture, pale green-yellow colour. Noted for being an extremely early bearer (Europe by September 1, California late July, Eastern US in August).","Cooking, Eating"
"437","Godfrey[5]","","Manitoba, Canada","Introduced 1931","P Patten Greening x unknown. A dark red apple. Flesh white, crisp, sweet. Tree vigorous. Use October - February.",""
"438","Gogar Pippin(syn. Stone Pippin)[6]","","Scotland","<1850","A dessert apple of second rate quality. Use January - March.","Eating"
"439","Golden Ball[3]","","Conn. US","<1880","A large apple. Flesh crisp, tender, subacid. Use December - March.","Eating"
"440","Golden Delicious[169][18][170]","","Clay County, West Virginia, US","1914","One of the most popular varieties in the world. Due to its regular size, even colour and storage qualities the fruit is widely sold commercially. Uniform light green-yellow coloration. Flesh firm, crisp, tender, juicy, mild subacid, aromatic, very good to best. A good pollinator. W 63-72, H 58-62, We 145. Stalk 20 – 30 mm. Pick October. Use October - May.","Eating, Cooking"
"441","Golden Harvey(syn. Brandy Apple)[6][7]","","England","<1821","A yellow apple with russet H 52, W 49. One of the richest and most excellent dessert apples, it is also one of the best for cider. Use December - May.","Eating, Cider"
"442","Golden Knob(syn. Old Lady, Old Maid)[6][7]","","England","<1850","Orange-brown with russet. A good late keeping dessert apple. Flesh firm, subacid, good. Leaf large, very dark. H 35, W 42. Use December - March. The tree is a strong grower.","Eating"
"443","Golden Monday[6]","","England","<1850","A kitchen apple. Flesh sugary, briskly flavoured. Use October - December.","Cooking"
"444","Golden Noble agm[171][18][21]","","England","1820","Tree is short and stocky. Produces mint green fruit with blush of pink. W 60-90 , H 50-80, We 150-250. Stalk 5-15mm. Good disease resistance. Pick early October. Use October - January.","Eating"
"445","Golden Nonpareil[6]","","England","<1850","A first rate dessert apple. Flesh juicy, sugary with a rich flavour. Use December - February.","Eating"
"446","Golden Orange","","Italy","1979released 1996","PRI 1956-6 × Ed Gould Golden. Resistant to scab. Moderate vigour, spreading habit and medium-late blooming season; fruit is moderately large (207 g) and symmetric, skin is smooth, no russeting. Ripens some days after Golden Delicious; fruit is very attractive; large, good storage ability.","Eating"
"447","Golden Reinette see Orleans Reinette",NA,NA,NA,NA,NA
"448","Golden Russet[172][173]","","New York","1845 (documented)","A medium-sized heavily russeted light green apple, occasionally with a reddish blush. W 73, H 72. Stalk 12 mm Crisp, fine-grained flesh is rich, sugary and very sweet. Excellent dessert apple, keeps very well. Makes extraordinary cider, known as the ""Champagne of cider apples."" Use December - April.","Cider, Cooking, Eating"
"449","Golden Spire[7]","","Lancashire, England","1850","A golden yellow apple. An old Northern English variety. Flesh pale yellow, juicy, soft. P Keswick Codlin x Manks Codlin. W 64, H 82 Unusually tall and oblong with a tart flavour.","Cooking (Cider, Eating)"
"450","Golden Supreme","","Idaho, US","1960","","Eating"
"451","Golden Sweet[59][4][3][28][174]","","Connecticut, US","<1832","W 76-79, H 59-63. Stalk 23–30 mm. A yellow apple. Fleshyellow, firm, tender, juicy, very sweet, aromatic, good to very good. BB. Use August - September.","Eating"
"452","Goldrush[175]","","Indiana, US","1980","The fruit has a complex spicy flavor with high acidity and sweetness. Acidity moderates in cold storage, with exceptional quality after 2 to 3 months.","Eating"
"453","Goldspur","","US","1960","A sport of 'Golden Delicious'.","Eating"
"454","Goodwood Pippin[176]","","Goodwood, Sussex, England","<1896","Yellow striked with red. Round to conical. The stalk is set in a narrow, rather deep russety cavity. W 82, H 82. AM from RHS in 1896.","Cooking"
"455","Goosebery Pippin(Ronalds´)[6]","","Cheshire, England","<1875","A very excellent dessert apple; ripe in November. Small fruit, small tree.","Eating"
"456","Gordon","","Whittier, California, United States","1977","A low chill hour cultivar developed by Robert B. Gordon in Whittier, CA from unknown parentage. Blooms over long period in Southern CA - from April to Early June. Bears mature fruit from August to October. Fruit is green with red striped overcolor. Ripe at approximately 50% red coverage. Fruit is dual purpose, for eating and baking with sweet-tart flavor.","Eating & Cooking"
"457","Gradirose","","Languedoc-Roussillon, France","2004","Created by Pépinières Grard. Early dessert apple with pink blush. Ripens in September and stores well. Very productive.","Eating"
"458","Gragg (aka Red Gragg or Winter Queen)","","North Carolina, US","1860","Originated on the farm of James Gragg in Caldwell County, NC about 1860. Valued by North Carolina growers for its fine cooking qualities, crispness and long storage ability. The conical shaped fruit is red in colour with moderately conspicuous dots. Ripens in October and is a great keeper.","Cooking, Eating"
"459","Grågylling[13][14]","","Europe","<1800","W 64-68, H 54-60. Stalk 12 – 20 mm. Flesh juicy, subacid, fair to good. Pick early October. Use November - January.","Eating, Cooking"
"460","Granges Pearmain[50]","","Middlesex, England","<1829","Rather large, round, a little flattened. Colour yellow with dull red flush and broken stripes. Flesh pale yellow, very crisp and juicy and excellent flavour. Use December–May.","Cooking, Eating"
"461","Granny Smith[161]","","Australia","1868","This is the apple once used to represent Apple Records. W 64, H 61. Stalk 17–25 mm. A favourite variety, widely sold in the UK. Also noted as common pie apple. Lime green colouring. Extremely tart.Pick mid October. Use January - April.","Cooking, Eating"
"462","Grantonian[7]","","Nottingham, England","<1883","Yellowish-green with brown flush. W 76, H 64. Flesh firm, subacid. FCC from RHS in 1883. Use till March.","Cooking"
"463","Graue Herbst Reinette[34]","","","<1800","W 84-95, H 64-72. Stalk 14 mm. Use November - December.","Cooking, Eating"
"464","Graue Portugiesische Reinette[34]","","Portugal","<1798","W 65 - 69, H 46-50. Stalk 14 mm. Use December - April.","Cooking, Eating"
"465","Grauer Kurzstiel[34]","","France","<1794","W 69, H 52. Stalk 8 mm. Use December - April.","Cooking, Eating"
"466","Gravenstein[177][21][18][28][178]","","Gråsten, Jutland, Denmark","<1800","An early yellow-green apple, often with red stripes. W 73-90, H 61-70. We 130. Stalk 10 – 25 mm. Tree large, vigorous. Flesh yellow, firm, fine, crisp, juicy, aromatic, subacid, very good to best. Exceptional cooking apple, especially for applesauce and pies. Poor keeper; becomes soft quickly. German immigrants introduced this variety to California's San Joaquin Valley in the mid-19th century. Has many sports. Pick late August. Use September - December.","Cooking, Eating, Pie"
"467","Green Cheese[3]","","North Carolina or Georgia, US","18th century","A very old southern apple thought to have originated in North Carolina or Georgia but its true origin is uncertain. The fruit is oblate to oblique in shape. W 76, H 55. The skin is deep green in colour, turning pale yellow when fully ripe. The yellowish flesh is sweet, crisp, tender and juicy.","Eating"
"468","Greendale[5]","","Geneva, New York, US","Introduced 1938","P McIntosh x Lodi. A green apple.","Eating, Cooking"
"469","Green Newtown see Newtown Pippin",NA,NA,NA,NA,NA
"470","Green Seek No Further[3]","","L.I. US","<1855","Flesh white, crisp, tender, juicy, subacid, very good. Stalk short. Tree slow in growth. Use October - January.","Eating"
"471","Greensleeves agm[179][21]","","Kent, England","1966","Golden Delicious × James Grieve; good garden apple, with a pleasant but unexceptional flavour. W 64-67, H 57-60. Stalk 20–22 mm. Likely named for famous Renaissance era song. Can be susceptible to scab. Pick late September. Use September - November.","Eating"
"472","Greenup´s Pippin (syn. Yorkshire Beauty, Greenup´s Apfel)[34][6]","","Yorkshire, England","<1800","A first rate early culinary apple. Flesh tender, juicy, and with an agreeable acidity. W 60-77, H 46-74. . Use October - December.","Eating, Cooking"
"473","Grenadier agm[180][21]","","England","1862 (documented)","Possibly one of the strangest of all British apples: it is ribbed and lumpy with a tough coat, looking as though it has taken a beating. W 83, H 63. Stalk 10–12 mm. Grenadier cooks down to cream-coloured puree with a superb apple flavour. Makes an excellent apple jam. Poor keeper. Reliably heavy annual bearer. First Class Certificate from RHS in 1883. Good disease resistance. Pick mid August. Use August - October.","Cooking"
"474","Grimes Golden(syn. Grimes Golden Pippin)[181][182][8][79][183]","","Brooke County, West Virginia, US","1804","A medium-sized roundish to slightly oblong apple. W 74, H 63. Stalk 23 mm. Greenish-yellow skin, ripening to a clear yellow, stem cavity sometimes russeted, covered with yellow or russet dots. The yellowish-white flesh is crisp and tender, with a rich, spicy, sugary-sweet flavour. A good all-purpose dessert and cooking apple, Grimes also makes a strong single-variety cider. Excellent keeper. Grimes Golden is the parent of the ubiquitous Golden Delicious. Relatively rare among apples, Grimes Golden is self-fertile. Original tree discovered near a known orchard of John Chapman (Johnny Appleseed). Use December - March.","Cider, Cooking, Eating"
"475","Grosh[3][184][185]","","Pa. US","<1855","Flesh white, loose, soft, juicy,aromatic, subacid, good to very good. Tree vigorous, an annual bearer. Use September - January.","Cooking"
"476","Grove[5]","","Missouri, US","Introduced 1935","P Ingram x Delicious. Tree blooms late, resistant to scab.",""
"477","Grüner Stettiner(syn. Grüner Winterstettiner)[186]","","Germany or Poland","<1800","A green apple. W 75, H 55. Stalk 11-15 mm. Flesh whitish-yellow, juicy, subacid. Quality good. Pick October. Use January - April.","Cooking, Drying, Juice"
